Date,Close,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,y_0,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13
2021-03-30,128.717499,129.482498,128.392502,125.352501,126.43,130.707504,131.862503,128.457504,127.224998,133.412506,132.912506,131.912506,128.559998,129.934998,124.682503,125.202499,115.932503,124.614998,123.702499,128.047501,134.0625,138.417496,137.145004,133.074997,144.990005,141.419998,143.557495,149.264999,148.289993,149.059998,153.302505,149.612503,152.507507,147.642502,142.632507,144.387497,135.910004,136.642502,135.304993,135.567505,132.369995,129.897507,130.509995,129.177505,134.352493,136.532501,137.125,138.675003,133.657501,130.252502,128.595001,132.002502,135.317505,134.847504,136.214996,132.767502,133.440002,126.144997,134.047501,131.134995,133.482498,138.117493,139.875,138.615005,141.434998,143.169998,144.0,152.089996,156.794998,152.770004,161.372498,159.125,153.617493,151.712494
2021-03-31,133.482498,128.717499,129.482498,128.392502,125.352501,126.43,130.707504,131.862503,128.457504,127.224998,133.412506,132.912506,131.912506,128.559998,129.934998,124.682503,125.202499,115.932503,124.614998,123.702499,128.047501,134.0625,138.417496,137.145004,133.074997,144.990005,141.419998,143.557495,149.264999,148.289993,149.059998,153.302505,149.612503,152.507507,147.642502,142.632507,144.387497,135.910004,136.642502,135.304993,135.567505,132.369995,129.897507,130.509995,129.177505,134.352493,136.532501,137.125,138.675003,133.657501,130.252502,128.595001,132.002502,135.317505,134.847504,136.214996,132.767502,133.440002,126.144997,134.047501,138.117493,139.875,138.615005,141.434998,143.169998,144.0,152.089996,156.794998,152.770004,161.372498,159.125,153.617493,151.712494,153.604996
2021-04-01,138.117493,133.482498,128.717499,129.482498,128.392502,125.352501,126.43,130.707504,131.862503,128.457504,127.224998,133.412506,132.912506,131.912506,128.559998,129.934998,124.682503,125.202499,115.932503,124.614998,123.702499,128.047501,134.0625,138.417496,137.145004,133.074997,144.990005,141.419998,143.557495,149.264999,148.289993,149.059998,153.302505,149.612503,152.507507,147.642502,142.632507,144.387497,135.910004,136.642502,135.304993,135.567505,132.369995,129.897507,130.509995,129.177505,134.352493,136.532501,137.125,138.675003,133.657501,130.252502,128.595001,132.002502,135.317505,134.847504,136.214996,132.767502,133.440002,126.144997,139.875,138.615005,141.434998,143.169998,144.0,152.089996,156.794998,152.770004,161.372498,159.125,153.617493,151.712494,153.604996,148.502502
2021-04-05,139.875,138.117493,133.482498,128.717499,129.482498,128.392502,125.352501,126.43,130.707504,131.862503,128.457504,127.224998,133.412506,132.912506,131.912506,128.559998,129.934998,124.682503,125.202499,115.932503,124.614998,123.702499,128.047501,134.0625,138.417496,137.145004,133.074997,144.990005,141.419998,143.557495,149.264999,148.289993,149.059998,153.302505,149.612503,152.507507,147.642502,142.632507,144.387497,135.910004,136.642502,135.304993,135.567505,132.369995,129.897507,130.509995,129.177505,134.352493,136.532501,137.125,138.675003,133.657501,130.252502,128.595001,132.002502,135.317505,134.847504,136.214996,132.767502,133.440002,138.615005,141.434998,143.169998,144.0,152.089996,156.794998,152.770004,161.372498,159.125,153.617493,151.712494,153.604996,148.502502,152.652496
2021-04-06,138.615005,139.875,138.117493,133.482498,128.717499,129.482498,128.392502,125.352501,126.43,130.707504,131.862503,128.457504,127.224998,133.412506,132.912506,131.912506,128.559998,129.934998,124.682503,125.202499,115.932503,124.614998,123.702499,128.047501,134.0625,138.417496,137.145004,133.074997,144.990005,141.419998,143.557495,149.264999,148.289993,149.059998,153.302505,149.612503,152.507507,147.642502,142.632507,144.387497,135.910004,136.642502,135.304993,135.567505,132.369995,129.897507,130.509995,129.177505,134.352493,136.532501,137.125,138.675003,133.657501,130.252502,128.595001,132.002502,135.317505,134.847504,136.214996,132.767502,141.434998,143.169998,144.0,152.089996,156.794998,152.770004,161.372498,159.125,153.617493,151.712494,153.604996,148.502502,152.652496,154.779999
2021-04-07,141.434998,138.615005,139.875,138.117493,133.482498,128.717499,129.482498,128.392502,125.352501,126.43,130.707504,131.862503,128.457504,127.224998,133.412506,132.912506,131.912506,128.559998,129.934998,124.682503,125.202499,115.932503,124.614998,123.702499,128.047501,134.0625,138.417496,137.145004,133.074997,144.990005,141.419998,143.557495,149.264999,148.289993,149.059998,153.302505,149.612503,152.507507,147.642502,142.632507,144.387497,135.910004,136.642502,135.304993,135.567505,132.369995,129.897507,130.509995,129.177505,134.352493,136.532501,137.125,138.675003,133.657501,130.252502,128.595001,132.002502,135.317505,134.847504,136.214996,143.169998,144.0,152.089996,156.794998,152.770004,161.372498,159.125,153.617493,151.712494,153.604996,148.502502,152.652496,154.779999,153.817505
2021-04-08,143.169998,141.434998,138.615005,139.875,138.117493,133.482498,128.717499,129.482498,128.392502,125.352501,126.43,130.707504,131.862503,128.457504,127.224998,133.412506,132.912506,131.912506,128.559998,129.934998,124.682503,125.202499,115.932503,124.614998,123.702499,128.047501,134.0625,138.417496,137.145004,133.074997,144.990005,141.419998,143.557495,149.264999,148.289993,149.059998,153.302505,149.612503,152.507507,147.642502,142.632507,144.387497,135.910004,136.642502,135.304993,135.567505,132.369995,129.897507,130.509995,129.177505,134.352493,136.532501,137.125,138.675003,133.657501,130.252502,128.595001,132.002502,135.317505,134.847504,144.0,152.089996,156.794998,152.770004,161.372498,159.125,153.617493,151.712494,153.604996,148.502502,152.652496,154.779999,153.817505,152.767502
2021-04-09,144.0,143.169998,141.434998,138.615005,139.875,138.117493,133.482498,128.717499,129.482498,128.392502,125.352501,126.43,130.707504,131.862503,128.457504,127.224998,133.412506,132.912506,131.912506,128.559998,129.934998,124.682503,125.202499,115.932503,124.614998,123.702499,128.047501,134.0625,138.417496,137.145004,133.074997,144.990005,141.419998,143.557495,149.264999,148.289993,149.059998,153.302505,149.612503,152.507507,147.642502,142.632507,144.387497,135.910004,136.642502,135.304993,135.567505,132.369995,129.897507,130.509995,129.177505,134.352493,136.532501,137.125,138.675003,133.657501,130.252502,128.595001,132.002502,135.317505,152.089996,156.794998,152.770004,161.372498,159.125,153.617493,151.712494,153.604996,148.502502,152.652496,154.779999,153.817505,152.767502,153.247498
2021-04-12,152.089996,144.0,143.169998,141.434998,138.615005,139.875,138.117493,133.482498,128.717499,129.482498,128.392502,125.352501,126.43,130.707504,131.862503,128.457504,127.224998,133.412506,132.912506,131.912506,128.559998,129.934998,124.682503,125.202499,115.932503,124.614998,123.702499,128.047501,134.0625,138.417496,137.145004,133.074997,144.990005,141.419998,143.557495,149.264999,148.289993,149.059998,153.302505,149.612503,152.507507,147.642502,142.632507,144.387497,135.910004,136.642502,135.304993,135.567505,132.369995,129.897507,130.509995,129.177505,134.352493,136.532501,137.125,138.675003,133.657501,130.252502,128.595001,132.002502,156.794998,152.770004,161.372498,159.125,153.617493,151.712494,153.604996,148.502502,152.652496,154.779999,153.817505,152.767502,153.247498,150.095001
2021-04-13,156.794998,152.089996,144.0,143.169998,141.434998,138.615005,139.875,138.117493,133.482498,128.717499,129.482498,128.392502,125.352501,126.43,130.707504,131.862503,128.457504,127.224998,133.412506,132.912506,131.912506,128.559998,129.934998,124.682503,125.202499,115.932503,124.614998,123.702499,128.047501,134.0625,138.417496,137.145004,133.074997,144.990005,141.419998,143.557495,149.264999,148.289993,149.059998,153.302505,149.612503,152.507507,147.642502,142.632507,144.387497,135.910004,136.642502,135.304993,135.567505,132.369995,129.897507,130.509995,129.177505,134.352493,136.532501,137.125,138.675003,133.657501,130.252502,128.595001,152.770004,161.372498,159.125,153.617493,151.712494,153.604996,148.502502,152.652496,154.779999,153.817505,152.767502,153.247498,150.095001,148.367493
