index,Close
0,427.08032646
1,432.2646547
2,421.72644456 
3,425.74954505
4,443.56687109 
5,458.66484934 
6,469.82965456 
7,459.14897528 
8,461.75589998
9,462.65244001 
10,460.41493097 
11,466.58774907 
12,475.36734837 
13,485.74895032
